ID,Term,Chinese,Language
654,arpitarrone {It.},阿比塔隆琴,義
655,arraché {Fr.},強力撥奏,法
656,arrangement,編曲,英
657,arrescu {Sp.},阿雷斯固舞曲,西
658,ars antiqua {Lat.},古藝術,拉
659,ars nova {Lat.},新藝術,拉
660,Ars Subtilior {Lat.},纖細藝術,拉
661,art song,藝術歌曲,英
662,articolato {It.},清晰的；明確的,義
663,articolazione {It.},運音法；演奏（唱）技法,義
664,articulation,運音法；演奏（唱）技法,英
665,artificial harmonics,人工泛音,英
666,artificial mode,人為調式,英
667,artificial note,人為音,英
668,artig {Ger.},溫雅的；高尚的,德
669,Artikulation {Ger.},運音法；演奏（唱）技法,德
670,artistic creation,藝術創作,英
671,As {Ger.},降A,德
672,Asas {Ger.},重降A音,德
673,ascending,上行,英
674,Ases {Ger.},重降A音｛德｝,德
675,asor {Heb.},阿索爾琴｛猶太古琴｝,希伯來
676,aspiration {Fr.},間斷音｛後倚音的一種｝,法
677,assai {It.},很；相當的；特別的,義
678,assez {Fr.},很；相當的,法
679,Assumpta est Maria {Lat.},聖母昇天彌撒曲,拉
680,Ästhetische Kategorien {Ger.},美的範疇,德
681,Ästhetischer Wert {Ger.},美的價值,德
682,at first sight,初次視奏；初次視唱,英
683,atabal {Sp.},阿他巴鼓,西
684,atabaque {Br.},阿他巴克鼓,巴西
685,Atem {Ger.},呼吸；氣息,德
686,Atempause {Ger.},呼吸間歇；呼吸記號；分句號,德
687,Atemzeichen {Ger.},呼吸記號,德
688,Atmung {Ger.},呼吸；氣息；呼吸法,德
689,atonal,無調性,英
690,atonal music,無調性音樂；非調性音樂,英
691,atonalism,無調性主義；非調性主義,英
692,atonalismo {It.},無調性主義；非調性主義,義
693,atonalità {It.},無調性；非調性,義
694,Atonalität {Ger.},無調性；非調性,德
695,atonalité {Fr.},無調性；非調性,法
696,atonality,無調性；非調性,英
697,attacca subito {It.},緊接下一段,義
698,attacca {It.},緊接下一段,義
699,attacco {It.},短主題｛複格},義
700,attack,起音,英
701,Attack {Ger.},起音,德
702,au talon {Fr.},近弓根奏,法
703,aubade {Fr.},晨間音樂；晨歌,法
704,aube {Fr.},晨歌,法
705,audibility limits,聽覺極限,英
706,audiogram,聽力圖,英
707,audiometer,測聽器,英
708,audiométrie {Fr.},聽力檢查,法
709,audiometry,聽力檢查,英
710,audition,試聽；聽力；面試,英
711,audition colorée {Fr.},色彩聽覺,法
712,auditory area,聽域,英
713,Auditory fatigue,聽覺疲勞,英
714,auditory volume,音寬度；音粗度,英
715,audizione a colori {It.},色彩聽覺,義
716,Auferstehung Symphonie {Ger.},復活交響曲,德
717,Aufführung {Ger.},演奏｛唱｝；演出：表演,德
718,aufgeregt {Ger.},興奮的；激動的,德
719,Aufgeweckt {Ger.},生動的；活潑的,德
720,Aufhalten {Ger.},抑制,德
721,Auflage {Ger.},版本,德
722,Auflösung {Ger.},解決,德
723,Auflösungszeichen {Ger.},本位記號；還原記號,德
724,Aufnahmeapparat {Ger.},收錄器材,德
725,Aufschlagzunge {Ger.},敲擊簧,德
726,Aufstellung {Ger.},呈示部,德
727,Aufstrich {Ger.},上弓,德
728,Auftakt {Ger.},弱起拍,德
729,auftaktige Bildung {Ger.},弱起,德
730,Auftaktigkeit {Ger.},弱起,德
731,Auftritt {Ger.},場；景 （戲劇）,德
732,aufwärtsführender Leitton {Ger.},上行導音,德
733,Augenmusik {Ger.},視覺音樂,德
734,augmental interval,增音程,英
735,augmentation,增值,英
736,augmentation and diminution,增值與減值,英
737,augmented chord,增和弦（絃）,英
738,augmented fifth,增五度,英
739,augmented fourth,增四度,英
740,augmented intervals,增音程,英
741,augmented prime,增一度,英
742,augmented second,增二度,英
743,augmented seventh,增七度,英
744,augmented sixth,增六度,英
745,augmented third,增三度,英
746,augmented triad,增三和弦（絃）,英
747,aulos,奧洛斯管,英
748,aumentazione {It.},增值,義
749,aura {Lat.},奧拉琴,拉
750,aurresku {Sp.},奧雷斯固舞曲,西
751,Ausdruck {Ger.},表情,德
752,ausdrucksvoll {Ger.},富有表情的,德
753,Ausfüllgeiger {Ger.},總奏的小提琴手,德
754,ausgehalten {Ger.},保持；持續,德
755,ausgelassen {Ger.},洋溢的；奔放的,德
756,aushalten {Ger.},保持；持續,德
757,Aussenstimme {Ger.},外聲部,德
758,Äusseres Ohr {Ger.},外耳,德
759,Äusserestimme {Ger.},外聲部,德
760,Aussprache {Ger.},發音,德
761,Ausweichung {Ger.},臨時轉調,德
762,Auswendigspielen {Ger.},背譜演出,德
763,Auszug {Ger.},編曲,德
764,authentic cadence,正格終止,英
765,authentic half cadence,正格半終止,英
766,authentic mode,正格調式,英
767,authentic source,原始資料,英
768,authentic Tonart {Ger.},正格調式,德
769,authenticity,真實性,英
770,authentische Quelle {Ger.},原始資料,德
771,authentischer Modus {Ger.},正格調式,德
772,authentischer Schluss {Ger.},正格終止,德
773,authentizität {Ger.},真實性,德
774,auto {Sp.},聖餐劇,西
775,autografo {It.},親筆簽名,義
776,autograph,親筆簽名,英
777,Autograph {Ger.},親筆簽名,德
778,autoharp,自動豎琴,英
779,automatophone,自動樂器,英
780,automelon,他旋律｛拜占庭聖歌｝,英
781,autonome Musik {Ger.},自律音樂,德
782,Autonomous music,自律音樂,英
783,autopiano {It.},自動鋼琴,義
784,auxiliary chord,輔助和弦,英
785,auxiliary note,助音,英
786,auxiliary sixth-four chord,輔助的六四和弦（絃）,英
787,auxiliary tone,助音,英
788,avant-garde jazz {Fr.},前衛爵士樂,法
789,avant-garde {Fr.},前衛,法
790,âvâz,阿瓦茲｛伊朗調式｝,伊朗
791,ave maria {Lat.},聖母頌,拉
792,Ave maris stella {Lat.},聖母之星,拉
793,ave regina caelorum {Lat.},萬福天后,拉
794,ave verum corpus {Lat.},聖體頌,拉
795,avec les cordes relachées {Fr.},放鬆響弦（絃）｛小鼓｝,法
796,avec sourdine {Fr.},加弱音器,法
797,avec {Fr.},與,法
798,ay-bo-le {Sp.},愛波雷舞曲,西
799,Áyotl,龜甲｛體鳴樂器｝,中非
800,ayre,歌；歌曲；曲調,英
801,"azãn, adhãn {Ar.}",阿讚｛阿拉伯｝,阿拉伯
802,B sharp,升Ｂ（音）,英
803,B-A-C-H {Ger.},巴赫音名,德
804,Baborák {Cz.},巴波拉克舞曲,捷
805,baby grand piano,小平臺鋼琴,英
806,bacchanale {Fr.},酒神祭舞；飲酒歌,法
807,bacchetta di {It.},軟頭鼓錘,義
808,bacchetta {It.},鼓槌；木棒；指揮棒；琴棒,義
809,Bach bow,巴赫弓,英
810,Bach Gesellschaft {Ger.},巴赫協會,德
811,Bach trumpet,巴赫小號,英
812,Bach Werke-Verzeichnis (BWV) {Ger.},巴赫作品編號,德
813,back,背板,英
814,badinage {Fr.},詼諧風舞曲,法
815,badine,詼諧風舞曲,英
816,badinerie {Fr.},詼諧風舞曲,法
817,bagana,貝干納琴,土耳其
818,baganna,貝干納琴,土耳其
819,bagatelle {Fr.},小品；小曲,法
820,Bagatelle {Ger.},小品；小曲,德
821,baglama {Tur.},巴拉瑪琴,土耳其
822,bagpipe,風笛,英
823,baguala {Sp.},巴瓜拉舞曲,西
824,baguette {Fr.},鼓槌；木棒；指揮棒；琴棒,法
825,baião {Por.},巴悠｛舞曲｝,葡
826,baile de palos {Sp.},鼓之舞,西
827,baile flamenco {Sp.},弗拉門哥舞蹈,西
828,bailecito {Sp.},拜列西多舞曲,西
829,bajo cifrado {Sp.},持續低音；數字低音,西
830,balafo,木琴｛西非｝,西非
831,balafon,木琴｛西非｝,西非
832,balalaika,巴拉萊卡琴,俄
833,balancement {Fr.},抖音｛古鋼琴｝,法
834,Balg {Ger.},送風裝置｛管風琴｝,德
835,Balken {Ger.},連線,德
836,ballabile {It.},舞曲風格的,義
837,ballad,敘事曲,英
838,ballad horn,巴拉德號,英
839,ballad opera,敘事歌劇,英
840,ballade {Fr.},敘事曲；舞歌,法
841,Ballade {Ger.},敘事曲,德
842,ballata {It.},敘事曲；舞歌,義
843,ballerina,女舞者,
844,ballerina {It.},女舞者,義
845,ballerino {It.},男舞者,義
846,ballet de cour {Fr.},宮廷芭蕾,法
847,ballet suite {Fr.},舞劇組曲,法
848,ballet {Fr.},舞蹈；舞劇；芭蕾,英˙法
849,Ballett {Ger.},舞蹈；舞劇；芭蕾,德
850,ballett {It.},芭蕾歌,義
851,balletto {It.},舞蹈；舞劇；芭蕾；芭蕾歌,義
852,ballo {It.},舞會,義
853,Bamberg Codex,班柏抄本,法
854,bamboo pipe,竹笛,英
855,bamboula,班博拉鼓,
856,bambuco {Sp.},班布果舞曲,西
857,band,樂隊,英
858,Band {Ger.},樂隊,德
859,banda militare {It.},軍樂隊,義
860,banda {It.},樂隊,義
861,bandola {Sp.}{It.},班多拉琴,西˙義
862,bandoneón {Sp.},手風琴,西
863,bandora {It.},班多拉琴,英˙義
864,bandoura,班杜拉琴,烏克蘭
865,bandura,班杜拉琴,烏克蘭
866,bandurria {Sp.},班杜里亞琴,西
867,Bandzunge {Ger.},帶簧,德
868,Bangsawan,扮沙彎劇,馬來
869,banjo,班究琴,英
870,banjolin,班究林（小班究琴）,英
871,bar,小節,英
872,bar form,巴爾曲式,英
873,bar line,小節線　,英
874,barbaro {It.},凶猛的；粗野的,義
875,bãrbat {Ar.},巴巴特琴；巴巴特鼓,波斯˙阿拉伯
876,barbershop harmony,理髮店和聲,英
877,Barbiton,巴比頓琴,希
878,barcarola {It.}{Sp.},船歌,義˙西
879,barcarole,船歌,英
880,barcarolle {Fr.},船歌,法
881,bard,遊唱詩人,英
882,bardd,遊唱詩人,英
883,bardh,遊唱詩人,英
884,Barform {Ger.},巴爾曲式,德
885,bariolage {Fr.},交替奏法,法
886,baritone,上低音；男中音；細管上低音號,英
887,baritone clef,上低音譜號,英
888,baritone oboe,上低音雙簧管,英
889,baritone sax,上低音薩氏管,英
890,baritone saxhorn,上低音薩氏號,英
891,baritono {It.},上低音；男中音；細管上低音號,義
892,Barkarole {Ger.},船歌,德
893,barless iron frame,鐵架,英
894,barn dance,穀倉舞,英
895,baroque,巴洛克,英
896,barra de compás {Sp.},小節線,西
897,barra {Sp.},低音樑,西
898,barre de mesure {Fr.},小節線,法
899,barre de reprise {Fr.},反復記號,法
900,barre {Fr.},低音樑,法
901,barré {Fr.},複弦（絃）按法｛吉他｝,法
902,barrel organ,手搖管風琴；滾筒管風琴,英
903,barrel piano,滾筒琴,英
904,barrelhouse,酒店風格,英
905,barth,遊唱詩人,英
906,baryton,巴里東琴,英
907,barz,遊唱詩人,英
908,Baß tuba {Ger.},低音號,德
909,basques,巴斯克舞曲,英
910,bass,低的；低音；男低音；低聲部；低音號；貝斯｛通俗音樂用法｝；低音單簧管,英
911,bass bar,低音樑,英
912,bass baritone,低男中音,英
913,bass clarinet,低音單簧管,英
914,bass clef,低音譜號,英
915,bass cor {Fr.},低音小號,法
916,bass drum,大鼓,英
917,bass flute,低音長笛,英
918,bass horn,低音圓號；英國蛇號音栓,英
919,bass Liniensystem {Ger.},低音譜表,德
920,bass oboe,低音雙簧管,英
921,bass part,低音部,英
922,bass saxhorn,低音薩氏號,英
923,bass staff,低音譜表,英
924,bass stave,低音譜表,英
925,bass tone,低音,英
926,bass trombone,低音長號,英
927,bass trumpet,低音小號,英
928,bass tuba,倍低音號；低音號音栓（管風琴）,英
929,bass viol,低音維奧爾琴,英
930,bass voice,低音聲部,英
931,Bass {Ger.},低的；低音；男低音；低音號；貝斯｛通俗音樂用法｝；低音單簧管,德
932,bass-bar,低音樑,英
933,bass-course,低音弦組,英
934,Bass-Saite {Ger.},低音絃（弦）,德
935,bassanello {It.},巴沙內羅管,義
936,Bassbalken {Ger.},低音樑,德
937,basse à pistons {Fr.},粗管上低音號,法
938,basse chiffrée {Fr.},持續低音；數字低音,法
939,basse continue {Fr.},持續低音；數字低音,法
940,basse contre {Fr.},深沈男低音,法
941,basse d'Arberti {Fr.},阿爾貝堤低音,法
942,basse d'harmonie {Fr.},低音號（指奧菲克萊號）,法
943,basse danse {Fr.},低舞,法
944,basse de viole {Fr.},古大提琴,法
945,basse donnée {Fr.},指定低音,法
946,basse fondamentale {Fr.},基礎低音,法
947,basse fréquence {Fr.},低頻率,法
948,basse murky {Fr.},分離八度低音,法
949,basse {Fr.},低的；低音；男低音；低音號；貝斯｛通俗音樂用法｝,法
950,basset horn,巴塞管,英
951,Bassetflöte {Ger.},低音長笛,德
952,bassett nicolo,巴塞特尼科洛管,英
953,Bassett {Ger.},大提琴,德
954,Bassettflöte {Ger.},巴塞特笛,德
955,Bassetthorn {Ger.},巴塞管,德
956,bassetto {It.},大提琴,義
957,bassflicorno,低音富魯格號,英
958,Bassklarinette {Ger.},低音單簧管,德
959,basso baritone {It.},低男中音,義
960,basso buffo {It.},詼諧男低音,義
961,basso cantante {It.},抒情男低音,義
962,basso continuo {It.},持續低音；數字低音：通奏低音,義
963,basso di murky {It.},分離八度低音,義
964,basso fondamentale {It.},基礎低音,義
965,basso lirico {It.},抒情男低音,義
966,basso ostinato {It.},頑固低音,義
967,basso profondo {It.},深沉男低音,義
968,basso rigo {It.},低音譜表,義
969,basso ripieno {It.},加強低音部,義
970,basso seguente {It.},伴隨低音,義
971,basso {It.},低的；低音；男低音；低音聲部；低音號；貝斯｛通俗音樂用法｝,義
972,basson quinte {Fr.},小低音管,法
973,basson russe {Fr.},俄國低音管,法
974,basson {Fr.},低音管,法
975,bassoon,低音管；低音管音栓,英
976,Bassoon family,低音管族,英
977,Bassposaune {Ger.},低音長號,德
978,Bassschlüssel {Ger.},低音譜號,德
979,Basstrompete {Ger.},低音小號,德
980,bataille {Fr.},戰曲,法
981,Bathyphon {Ger.},巴提管,德
982,baton {Fr.},指揮棒；劇場用吊桿,法
983,bâton {Fr.},拍單位休止符,法
984,battaglia {It.},戰曲,義
985,battement de mesure {Fr.},拍子的單位,法
986,battements {Fr.},拍音,法
987,battimenti {It.},拍音,義
988,battle piece,戰曲,英
989,battuta a cinque tempi {It.},五拍子,義
990,battuta a otto tempi {It.},八拍子,義
991,battuta a sette tempi {It.},七拍子,義
992,battuta binaria {It.},二拍子,義
993,battuta composta a due tempi {It.},複二拍子,義
994,Battuta quaternaria {It.},四拍子,義
995,battuta ternaria {It.},三拍子,義
996,battuta {It.},小節,義
997,batucada {Sp.},巴突克舞曲｛巴西｝,西
998,batuque {Br.},巴突克舞曲｛巴西｝,巴西
999,Bauakustik {Ger.},建築聲響學,德
1000,Bauchstelle {Ger.},波腹（音響學）,德
1001,Bauernlied {Ger.},農民歌,德
1002,Baul,包烏爾｛音樂｝,孟加拉
1003,Bayan {Rus.},巴揚手風琴,俄
1004,BB flat bass,倍低音號,英
1005,Be {Ger.},降記號,德
1006,be-bop,嗶博樂,英
1007,beak flute,直笛,英
1008,Bearbeitung {Ger.},編曲,德
1009,beat,拍；拍子,英
1010,beating reed,敲擊簧,英
1011,beats,拍音,英
1012,Bebe {Ger.},重降Ｂ,德
1013,Bebung {Ger.},抖音,德
1014,bec {Fr.},吹口,法
1015,bécarre {Fr.},本位記號；還原記號,法
1016,becco {It.},吹口,義
1017,Becken {Ger.},鈸,德
1018,Beckingkurve {Ger.},貝金曲線,德
1019,Bedächtig {Ger.},慎思的,德
1020,bedeutend {Ger.},具代表性的,德
1021,Bedrohlich {Ger.},恐嚇的；脅迫的,德
1022,Begleitung {Ger.},伴奏,德
1023,béguine,貝基尼舞曲,法
1024,behaglich {Ger.},舒適的,德
1025,behend {Ger.},便利的,德
1026,beherzt {Ger.},勇敢的；有決心的；大膽的,德
1027,Beisser {Ger.},漣音｛18世紀｝,德
1028,Beklemmt {Ger.},恐懼的；憂慮的,德
1029,beklemmt {It.},壓抑的；心情沉重的,義
1030,Beklommen {Ger.},壓抑的；心情沉重的,德
1031,bel canto {It.},美聲唱法,義
1032,belebend {Ger.},振奮的,德
1033,Belebt {Ger.},生動的；活潑的；振奮的；有生氣的,德
1034,bell,鐘；鐘形口｛管樂器｝,英
1035,bell chime,編鐘,英
1036,bell harp,鐘形琴,英
1037,bell lyra,軍樂鐵琴,英
1038,bellows,送風裝置｛管風琴｝,英
1039,belly,腹板｛弦樂器｝,英
1040,bémol {Fr.},降記號,法
1041,bemolle {It.},降記號,義
1042,ben {It.},充分的；非常的,義
1043,Bendīr,框鼓,北非
1044,Benedicamus Domino {Lat.},上主降福經,拉
1045,Benedicite eucharistica {Lat.},聖體降福,拉
1046,Benediction of the Blessed Sacrament,聖體降福,英
1047,benedictus dominus deus israel {Lat.},以色列當讚美神,拉
1048,bequadro {It.},本位記號；還原記號,義
1049,berceuse {Fr.},搖籃曲,法
1050,bergamasca {It.},貝爾加馬斯卡舞曲；貝爾加馬音型,義
1051,bergamasque {Fr.},貝爾加馬斯卡舞曲；貝爾加馬音型,法
1052,bergerette,法國牧歌,英
1053,bergomask,貝爾加馬斯卡舞曲；貝爾加馬音型,英
1054,Bergreihen {Ger.},礦工之歌,德
1055,Bersag horn,單鍵步號,英
1056,Bersaglieri bugle {It.},單鍵步號,義
1057,bertrübt {Ger.},使人憂鬱的,德
1058,beruhigend {Ger.},變平和的,德
1059,Bes {Ger.},重降Ｂ音,德
1060,Beschleunigen {Ger.},加快的,德
1061,bestimmt {Ger.},決然的；堅定的；果決的,德
1062,betrübt {Ger.},陰鬱的,德
1063,Beugung {Ger.},繞射；折射,德
1064,beweglich {Ger.},生動的；活潑的,德
1065,bewegt {Ger.},快速的；富有感情的,德
1066,Bewegung {Ger.},進行；動作,德
1067,Bezifferter Bass {Ger.},持續低音；數字低音,德
1068,Bharata-nâtyam,納提安｛印度舞｝,英
1069,Bharata-nātyam {In.},巴拉塔-納替揚舞｛印度舞｝,印度
1070,bianca {It.},二分音符,義
1071,Bibelregal {Ger.},書型小風琴；聖經形風琴,德
1072,bible regal,聖經形風琴；書型小風琴,英
1073,bibliography of music,音樂書目學,英
1074,bichord {Lat.},雙弦｛同音｝,拉
1075,bicinium {Lat.},二聲部曲,拉
1076,big band,大樂隊,英
1077,Bîn,賓琴｛印度｝,印度
1078,binary form,二段體,英
1079,binaural diplacusis,雙耳聽差異常,英
1080,binaural fusion,雙耳聽覺融合,英
1081,bind,連結線,英
1082,Bindebogen {Ger.},連結線,德
1083,biniou {Fr.},比尼烏風笛,法
1084,bird organ,鳥風琴,英
1085,bis {Lat.}{Fr.}{It.},再一次,拉˙法˙義
